test_id,number,problem,choice_1,choice_2,choice_3,choice_4,choice_5,answer
KSAT_2023_09_고3_일본어,4,"빈칸에 공통으로 들어갈 말로 알맞은 것은?
○まず、魚はしおで味を おきましょう。
○ねこに「たま」という名前を やりました。",かけて,だして,つけて,ひいて,つかって,3
KSAT_2023_09_고3_일본어,5,"빈칸에 들어갈 말로 알맞은 것은?
A: 家から学校まで歩いて5分しかかからないんだ。
B:へえ、近いね。ほんとうに目と鼻の だね。",さき,した,なか,うしろ,となり,1
KSAT_2023_09_고3_일본어,6,"대화를 이해한 내용으로 알맞은 것은?
みか:今日、あき君と会うでしょう。彼の前で私のこと口にしないでね。
ジホ:え?「口にしない」ってどういう意味?
みか:それはね、言葉に出して言わないということなの。
ジホ:へえ、そうなんだ。「口にする」って食べたり飲んだりするという意味だけじゃなかったんだね。
みか:うん、そうよ。
ジホ:でも、どうして みかのこと言っちゃいけないの?
みか:最近、私たち いろいろあってね。",ジホは あきにみかのことを言った。,「口にする」は「話す」という意味もある。,ジホは あきといっしょに食事したことがない。,みかはあきと会っていろいろ相談する考えである。,言葉の意味がわからないことを「口にしない」という。,2
KSAT_2023_09_고3_일본어,7,"成年年齢(성인 연령)'에 관한 글을 이해한 내용으로 알맞은 것은?
日本では 1876年から成年年齢が20歳と決められていたが、2022年に 18歳に変わった。これで両親の同意がなくてもケータイを買ったり、カードを作ったり、部屋を借りたりすることができるようになった。これは一人の大人として責任をもつということでもある。しかし、飲酒などはこれまでと変わりなく、20歳になってからでないとだめである。",1876년에 성인 연령이 18세로 정해졌다.,음주 가능한 연령이 20세에서 18세로 바뀌었다.,현재는 20세부터 본인 명의의 카드를 만들 수 있다.,2023년에 18세는 어른으로서 책임을 져야 하는 나이이다.,2023년에는 18세에 부모의 동의 없이 방을 빌릴 수 없다.,4
KSAT_2023_09_고3_일본어,9,"親知らず(사랑니)'에 관한 글을 이해한 내용으로 알맞은 것은?
「親知らず」とは人の歯の中でいちばん 後ろに生える 歯のことである。ことばとしては「親を知らない人」を意味する。なぜ歯の名前を「親知らず」と呼ぶようになったのだろう。それは他の歯より おそく生えてくるためである。昔はこの歯が生えてくるころには親に死なれていたり、親から離れて生活したりすることが多かった。だから親としては子どもにこの歯が生えたことを知らなかったのであろう。",子どもは親の「親知らず」を知らないこともある。,「親知らず」がはやく生えてくる人は親を知らない。,昔は親が子どもの「親知らず」を知らないことが多かった。,他の人より歯がおそく生える人を「親知らず」ともいう。,親からはなれて一人で暮らすと「親知らず」が生えてくる。,3
KSAT_2023_09_고3_일본어,10,"「かるた遊び(가루타 놀이)'에 관한 글을 이해한 내용으로 알맞은 것은?
日本には「かるた」を使った遊びがある。「かるた」はポルトガル語からきたカードのことである。この遊びは一人がカードに書かれたことばを読むと、他の人がたくさんのカードの中からそれに合ったものをはやくとるゲームである。これでひらがなを覚えたり昔の歌を学んだりすることができる。このように「かるた」は子どもにとって楽しみながらいろいろなことが学べるものでもある。",일본에서 포르투갈로 전해졌다.,원하는 카드 한 장을 바꿀 수 있다.,즐기면서 히라가나를 배울 수 있다.,상대가 말한 단어를 받아 적는 놀이이다.,카드의 내용을 소리 내어 읽는 사람이 이긴다.,3
KSAT_2023_09_고3_일본어,11,"빈칸에 들어갈 말로 알맞은 것은?
ひろ:ねえ、このすうがくの問題、わかる?
あつし:あ、これはね。ここをこのようにすればできるよ。
ひろ:ああ、 あつし すごいじゃない。
あつし:まあね。",へいき,なるほど,まだまだ,もちろん,よろこんで,2
KSAT_2023_09_고3_일본어,12,"[MultiModal] 빈칸에 들어갈 말로 알맞은 것은?
店員:何か
客:いや、見てるだけです。",おさがしですか,見せましょうか,だいじょうぶですか,しらべるものありますか,たすけてもいいでしょうか,1
KSAT_2023_09_고3_일본어,13,"빈칸에 들어갈 말로 알맞은 것은?
母:あら、みき? まだ起きてたんだ。
みき:あ、お母さん。明日テストだから……………。
母:でも、あまり無理しないでね。
みき:わかった。おやすみなさい。",もっと勉強しなくちゃ,ずいぶん 寝たでしょう,早く寝たほうがいいよ,だいぶ はやいじゃない,もうちょっとがんばって,3
KSAT_2023_09_고3_일본어,14,"빈칸에 들어갈 말로 알맞은 것은?
A:えっ、どうしてまたこれ買ったの?
B: 安かったから………………。
A: いつもそうじゃない。困るよ。",ずっと使わないので,あまりほしくなくて,要らないものだったし,すごく買いたかったのに,買うつもりはなかったけど,5
