test_id,number,problem,choice_1,choice_2,choice_3,choice_4,choice_5,answer
KSAT_2024_09_고3_미적분,2,함수 f(x) = x^3+3x^2-5에 대하여 lim_(h->0) (f(1+h)-f(1))/h의 값은? [2점],5,6,7,8,9,2
KSAT_2024_09_고3_미적분,3,"모든 항이 실수인 등비수열 {a_n}에 대하여 a_2a_3=2, a_4=4일 때, a_6의 값은? [3점]",10,12,14,16,18,4
KSAT_2024_09_고3_미적분,6,"pi/2 < theta < pi인 theta에 대하여 cos(pi+theta) = 2sqrt(5)/5일 때, sin theta + cos theta의 값은? [3점]",-2sqrt(5)/5,-sqrt(5)/5,0,sqrt(5)/5,2sqrt(5)/5,3
KSAT_2024_09_고3_미적분,7,"함수 f(x) = {(x-a)^2 (x < 4)), (2x-4 (x >= 4)):}가 실수 전체의 집합에서 연속이 되도록 하는 모든 상수 a의 값의 곱은? [3점]",6,9,12,15,18,4
KSAT_2024_09_고3_미적분,8,"a>2인 상수 a에 대하여 두 수 log_2 a, log_a 8의 합과 곱이 각각 4, k일 때, a+k의 값은? [3점]",11,12,13,14,15,3
KSAT_2024_09_고3_미적분,9,함수 f(x) = x^2+x에 대하여 Integral from 0 to 1 of f(x)dx - Integral from 0 to 1 of (5x + f(x))dx의 값은? [4점],1/6,1/3,1/2,2/3,5/6,1
KSAT_2024_09_고3_미적분,10,"angle A > pi/2인 삼각형 ABC의 꼭짓점 A에서 선분 BC에 내린 수선의 발을 H라 하자. AB:AC = sqrt(2):1, AH = 2이고, 삼각형 ABC의 외접원의 넓이가 50pi일 때, 선분 BH의 길이는? [4점]",25/4,13/2,27/4,7,15/2,1
KSAT_2024_09_고3_미적분,11,"수직선 위를 움직이는 두 점 P, Q의 시각 t (t>=0)에서의 위치가 각각 x_1=t^2+t-6, x_2 = -t^3+7t^2이다. 두 점 P, Q의 위치가 같아지는 순간 두 점 P, Q의 가속도를 각각 p, q라 할 때, p-q의 값은? [4점]",24,27,30,33,36,1
KSAT_2024_09_고3_미적분,12,"수열 {a_n}은 등차수열이고, 수열 {b_n}은 모든 자연수 n에 대하여 b_n = Sigma_(k=1)^n (-1)^(k+1) a_k를 만족시킨다. b_2=-2, b_3+b_4=0일 때, 수열 {b_n}의 첫째항부터 제9항까지의 합은? [4점]",-22,-20,-18,-16,-14,2
KSAT_2024_09_고3_미적분,13,"함수 f(x) = {(-x^2-2x+6 (x<0)), (-x^2+2x+6 (x>=0)):}의 그래프가 x축과 만나는 서로 다른 두 점을 P, Q라 하고, 상수 k(k>4)에 대하여 직선 x=k가 x축과 만나는 점을 R이라 하자. 곡선 y=f(x)와 선분 PQ로 둘러싸인 부분의 넓이를 A, 곡선 y=f(x)와 직선 x=k 및 선분 QR로 둘러싸인 부분의 넓이를 B라 하자. A=2B일 때, k의 값은? (단, 점 P의 x좌표는 음수이다.) [4점]",9/2,5,11/2,6,13/2,1
KSAT_2024_09_고3_미적분,14,"자연수 n에 대하여 곡선 y=2^x 위의 두 점 A_n, B_n이 다음 조건을 만족시킨다.
(가) 직선 A_nB_n의 기울기는 3이다.
(나) A_nB_n=n x sqrt(10)
중심이 직선 y=x 위에 있고 두 점 A_n, B_n을 지나는 원이 곡선 y=log_2 x와 만나는 두 점의 x좌표 중 큰 값을 x_n이라 하자. x_1+x_2+x_3의 값은? [4점]",150/7,155/7,160/7,165/7,170/7,4
KSAT_2024_09_고3_미적분,15,"두 다항함수 f(x), g(x)는 모든 실수 x에 대하여 다음 조건을 만족시킨다.
(가) Integral from -1 to x of tf(t)dt + Integral from 1 to x of tg(t)dt = 3x^4 + 8x^3 - 3x^2
(나) f(x) = xg'(x)
Integral from 0 to 1 of g(x)dx의 값은? [4점]",72,76,80,84,88,1
KSAT_2024_09_고3_미적분,24,"양의 실수 전체의 집합에서 정의된 미분가능한 함수 f(x)가 있다. 양수 t에 대하여 곡선 y=f(x) 위의 점 (t,f(t))에서의 접선의 기울기는 1/t+4e^(2t)이다. f(1)=2e^2+1일 때, f(e)의 값은? [3점]",2e^(2e)-1,2e^(2e),2e^(2e)+1,2e^(2e)+2,2e^(2e)+3,4
KSAT_2024_09_고3_미적분,25,"등비수열 {a_n}에 대하여 lim_(n->infinity) (4^n a_n - 1) / (3 x 2^(n+1) + a_n) = 1일 때, a_1+a_2의 값은? [3점]",3/2,5/2,7/2,9/2,11/2,4
KSAT_2024_09_고3_미적분,27,"실수 전체의 집합에서 미분가능한 함수 f(x)가 모든 실수 x에 대하여 f(x)+f(x+1/2 sin x) = sin x를 만족시킬 때, f'(pi)의 값은? [3점]",-5/6,-2/3,-1/2,-1/3,-1/6,2
KSAT_2024_09_고3_미적분,28,"함수 f(x)는 실수 전체의 집합에서 연속인 이계도함수를 갖고, 실수 전체의 집합에서 정의된 함수 g(x)를 g(x) = f'(2x)sin(pi x) + x라 하자. 함수 g(x)는 역함수 g^(-1)(x)를 갖고, Integral from 0 to 1 of g^(-1)(x)dx = 2 Integral from 0 to 1 of f'(2x)sin(pi x)dx + 1/2 pi을 만족시킬 때, Integral from 0 to 1 of f(x)cos(pi x)dx의 값은? [4점]",-1/pi,-1/(2pi),-1/(3pi),-1/(4pi),-1/(5pi),3
KSAT_2023_07_고3_미적분,2,함수 f(x)=x³-7x+5에 대하여 lim(h→0) [f(2+h)-f(2)]/h 의 값은? [2점],1,2,3,4,5,5
KSAT_2023_07_고3_미적분,3,"sin(π/3+θ)=3/5 이고 sinθcosθ<0일 때, sinθ+2cosθ의 값은? [3점]",-2/5,-1/5,0,1/5,2/5,5
KSAT_2023_07_고3_미적분,4,[MultiModal] 함수 y=f(x)의 그래프가 그림과 같다. lim(x→-1+) f(x) + lim(x→-1-) f(x)의 값은? [3점],-1,0,1,2,3,3
KSAT_2023_07_고3_미적분,5,"함수 f(x) = {3x+a (x ≤ 1), 2x²+bx+1 (x > 1)} 이 x=1에서 미분가능할 때, a+b의 값은? (단, a, b는 상수이다.) [3점]",-8,-6,-4,-2,0,2
