test_id,number,problem,choice_1,choice_2,choice_3,choice_4,choice_5,answer
KSAT_2023_11_수능_수산,1,"다음 사례에서 알 수 있는 해양 관광의 종류 (가), (나)로 옳은 것은?
(가) 오늘은 가족과 함께 ○○어촌계에서 주최하는 맨손 고기잡이 체험 행사에 참여하였다. 밀물 때 고기들이 들어오면 미리 준비해 둔 그물을 펼쳐 고기를 가둔 후 참가자들이 그물 안으로 들어가 고기를 맨손으로 잡는 행사였다. 많이 잡지 못해 아쉬웠지만 정말 재미있었다.
(나) 친구들과 제주도에 놀러 가서 평소 경험하기 힘든 바다 속 풍경을 구경하였다. 잠수정을 타고 해수면 아래로 내려가니 아름다운 해조류와 형형색색의 산호초 군락, 다양한 물고기들을 볼 수 있었다. 다음에는 가족과 함께 놀러와 바다 속의 신비한 모습을 보여줘야겠다.","① 해중 관광, 리조트 관광","② 해중 관광, 어촌 체험 관광","③ 리조트 관광, 해중 관광","④ 어촌 체험 관광, 해중 관광","⑤ 어촌 체험 관광, 리조트 관광",4
KSAT_2023_11_수능_수산,6,"다음 대화에서 졸업생이 설명한 선박으로 옳은 것은?
선생님: 이번 시간에는 ○○연구소에서 근무하는 졸업생을 초청하여 학생 여러분에게 직업 소개의 시간을 갖도록 하겠습니다.
졸업생: 안녕하세요. 저는 20년 전에 이 학교를 졸업하였습니다. 현재는 해양 생물을 연구하는 과학자로서 바다와 습지를 오가는 선박을 이용해서 서식지 등을 조사하고 있습니다.
학생: 선배님! 대단하십니다. 그런데 바다와 습지를 오가는 선박도 있나요?
졸업생: 네, 선체에 설치된 강력한 팬으로 배의 아랫부분에 공기막을 만들어 배를 띄우고, 배 뒤쪽 상부에 설치된 프로펠러로 추진되는 선박이 있습니다.",① 쌍동선,② 수중익선,③ 원자력선,④ 호버 크래프트,⑤ 초전도 전자기 추진선,4
KSAT_2023_11_수능_수산,7,"다음 상황에서 알 수 있는 삼촌의 수산·해운 분야 직업으로 가장 적절한 것은?
지난 주말에는 가족과 함께 삼촌이 근무하는 아쿠아리움으로 나들이를 갔다. 여기저기 구경하던 중, 입에 상처를 입고 힘없이 수족관 구석에서 유영하는 가오리를 보았다. 이 사실을 삼촌에게 알렸더니 가오리를 살펴보고는 치료실로 옮겼다. 삼촌은 가오리의 입 주변을 살피고 조직을 떼어 내 현미경으로 확인한 다음, 상처에 약을 바르고 주사를 놓았다. 일정 시간이 지난 후, 가오리는 기운을 차리고 수조를 힘차게 유영하였다. 나는 삼촌이 정말 멋지게 보였다.",① 기관사,② 관세사,③ 검량사,④ 해양 경찰,⑤ 수산 질병 관리사,5
KSAT_2023_11_수능_수산,11,"다음 기사의 해양 플랜트를 설치 형태에 따라 분류했을 때 같은 범주에 속하는 것으로 옳은 것은? (단, 해양 플랜트의 분류는 고정식, 유연식, 부유식으로 한정한다.)
△△ 조선해양은 브라질의 최대 에너지 기업으로부터 해양 플랜트를 수주했다고 밝혔다. 이번에 수주한 해양 플랜트는 바다 위에 떠 있으면서 하루 18만 배럴의 원유와 720만 ㎥의 천연 가스를 생산할 수 있으며, 200만 배럴의 원유를 저장하고 다른 선박에 옮겨 실어주는 기능을 가지고 있다. 관계자는 “최근 유가 상승으로 인하여 원유 생산 설비 시장이 점차 회복될 것으로 예상되어 향후 추가 수주도 기대된다.”라고 말하였다.
- ○○신문, 2021년 6월 15일 자-",① 스파형,② 반잠수식,③ 인장각식,④ 파일 고정식,⑤ 갑판 승강식,2
KSAT_2023_11_수능_수산,14,윗글에서 소개하는 해양 생물과 동일한 이동 방식으로 추진하는 해양 레저 기구로 가장 적절한 것은? [3점],① 카누,② 노보트,③ 세일 요트,④ 수중 스쿠터,⑤ 수상 오토바이,5
KSAT_2023_11_수능_수산,16,"다음 상황의 절차에 따라 착용하는 잠수 장비로 옳은 것은?
오늘은 해양 레저 수업 시간에 스쿠버 다이빙에 필요한 잠수 장비의 착용법에 대해 배웠다. 착용 절차는 다음과 같았다.
[절차 1] 자신의 앞쪽 바닥 왼쪽에 버클이 위치하도록 장비를 가지런히 펼친다.
[절차 2] 바닥에 가지런히 펼쳐 놓은 장비를 넘어가 자신의 뒤쪽에 장비가 위치되도록 한다.
[절차 3] 허리를 굽힌 상태에서 양손으로 장비를 잡고 허리에 착용한다.
[절차 4] 똑바로 서서 버클이 가운데에 잘 채워져 있는지 확인한다.",① 공기통,② 스노클,③ 웨이트 벨트,④ 수중 컴퓨터,⑤ 호흡 조절기,3
KSAT_2023_11_수능_수산,17,"다음 상황에서 어로장과 항해사가 조작한 어업 기기를 사용 목적에 따라 분류했을 때 해당하는 범주로 옳은 것은?
트롤 어선이 어장에 도착하면 어로장은 음파의 특성을 이용한 어업 기기를 조작하여 어군의 위치와 규모, 이동 방향과 속도 등의 정보를 수집한다. 그리고 항해사는 그물을 끄는 작업 중에 그물이 어획에 적합한 형태로 전개되는지를 확인하기 위하여 다른 어업 기기로 양쪽 전개판 사이의 거리를 모니터링 한다.",① 어획물 처리 기기,② 어구 조작용 기기,③ 어획물 이송용 기기,④ 수중 정보 수집 기기,⑤ 어획에 직접 사용하는 기기,4
KSAT_2024_06_고3_수산,2,"다음 문서에서 알 수 있는 컨테이너 운임의 할증료로 옳은 것은? (단, 제시된 사항 이외의 것은 고려하지 않는다.)
--- 수신: △△물산 제목: 화물 운송 견적서 발송. 1. 귀사의 무궁한 발전을 기원합니다. 2. 요청하신 화물 운송 견적에 대해 아래와 같이 알려 드립니다. 가. 대상 화물: 제품 A 나. 선적 방법: 특수 장비 활용 및 컨테이너 내 단독 적입 다. 특이 사항: 화물 길이가 본사 기준인 35ft를 초과하여 할증료 발생 3. 자세한 사항은 붙임 자료를 참고해 주시기 바랍니다. 붙임 견적 상세서 1부. 끝.",유류 할증료,장척 할증료,중량 할증료,체화 할증료,통화 할증료,2
KSAT_2024_06_고3_수산,6,"다음은 [○○항만공사 사업 계획서]의 일부이다. 이 계획서에 따라 건설하고자 하는 항만 시설로 가장 적절한 것은?
--- [○○항만공사 사업 계획서] 1. 사업명: △△항 외곽 시설 건설 2. 사업 배경과 필요성 - 높은 파랑에 의한 항내의 빈번한 해상 사고 발생 - 태풍, 지진 해일 등 자연 재해로 인한 침수 피해 발생 3. 기대 효과 - 항내 정온도를 유지하여 선박의 안전 항행 도모 - 외부 파도로부터 항만 내부 시설 보호 - 재해 방지를 통한 인명 및 재산 보호 *정온도 : 고요하고 평온한 정도",안벽,잔교,도류제,방사제,방파제,5
KSAT_2024_06_고3_수산,9,"[MultiModal] 다음 진로와 관련된 오픈 채팅방의 대화에서 알 수 있는 수산·해운 분야의 직업으로 옳은 것은?
--- 인어공주: 선박의 입·출항 시 선박에 직접 승선하여 도와주는 직업이 있다고 들었어요. 아쿠아맨: 선박에는 선장을 비롯해 항해사들이 있지 않나요? 선장이 개별 항구의 바다 밑 사정까지 잘 아는 것은 아닙니다. 그래서 해당 항구의 조류나 수심 등의 모든 상황을 다 꿰뚫고 있는 이 직업을 가진 전문가가 필요합니다. 포세이돈: 맞아요. 이 직업은 항구를 드나드는 배를 안내할 때 조금만 실수해도 아찔한 사고로 이어지기 때문에 높은 전문성이 요구되고, 그만큼 책임감이 무겁습니다. 와~ 그럼 바다의 파일럿이네요!",검량사,도선사,해양경찰,선박교통관제사,선박운항관리자,2
